Team Acronym,Stadium,Years,Notes
ATL,Omni,86-97,
,Alexander/Georgia Dome,97-99,
,Philips,99-17,
BOS,Boston Garden,86-95,
,TD Bank,95-17,
BRK,Barclays,2012-17,
CHA ,Charlotte Col.,2004-05,
,Spectrum Center,2005-14,
CHH,Charlotte Col.,88-02,
CHI,Chicago stadium,86-94,
,United Center,94-17,
CHO,Spectrum Center,14-17,
CLE,Richfield,86-94,
,Quicken,94-17,
DAL,Reunion,86-01,
,American Airlines,2001-17,
DEN,McNichols,86-99,
,Pepsi Arena,99-17,
DET,Silverdome,86-88,
,Palace,88-17,
GSW,Oracle,86-17,
HOU,Summit,86-03,
,Toyota Center,2003-17,
IND,Market Sq.,86-99,
,Conseco Field House,99-17,
LAL,LA Field House ,86-99,
,Staples Center,99-17,
LAL,Forum,86-99,
,Staples Center,99-17,
MEM,pyramid,2001-04,
,FedEx Forum,2004-16,
MIA,Miami Arena,88-99,
,American Airlines,99-17,
MIL,MECCA Arena,86-88,
,Bradley Center,88-17,
MIN,HHH metrodome,89-90,
,Target Center,90-17,
NJN,Brendan Byrne Arena,86-12,
NOH,Smoothie King Center,2002-13,
NOK,Ford Center/New Orleans Arena,2005-07,
NOP,Smoothie King Center,2013-17,
NYK,MSG,86-17,
OKC,Chesapeak energy arena,2008-17,
ORL,Amway Arena,89-10,
,Amway Center,2010-17,
PHI,Spectrum ,86-96,
,Wells Fargo,96-17,
PHO,Arizona veterans memorial,86-92,
,Talking Stick,92-17,
POR,Veterans memorial col.,86-95,
,Rose Garden,95-17,
SAC,Orginial Arco,86-88,
,Arco Arena,88-16,
,Golden 1 Center,2016-17,
SAS,HemisFare arena,86-93,
,Alamodome,93-02,
,AT&T center,2002-17,
SEA,Tacoma Dome,94-95,
,Key Arena,"86-94, 95-08",
TOR,Skydome,95-99,Several games played at Maple Leaf Gardens
,Air Canada Center,99-17,
UTA,Salt Palace,86-91,
,Delta Center,91-17,
VAN,General Motors Place,95-01,
WAS,MCI Center,97-17,** first 5 games at Us Airways Arena
WSB,US Airways Arena,86-97,
